Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2555,Soyabeans,2013,2013,1000 tonnes,42797,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2555,Soyabeans,2013,2013,1000 tonnes,38086,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2560,Coconuts - Incl Copra,2013,2013,1000 tonnes,2820,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2560,Coconuts - Incl Copra,2013,2013,1000 tonnes,87,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2560,Coconuts - Incl Copra,2013,2013,1000 tonnes,9,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2560,Coconuts - Incl Copra,2013,2013,1000 tonnes,2899,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2561,Sesame seed,2013,2013,1000 tonnes,7,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2561,Sesame seed,2013,2013,1000 tonnes,4,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2561,Sesame seed,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2561,Sesame seed,2013,2013,1000 tonnes,11,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2563,Olives (including preserved),2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2563,Olives (including preserved),2013,2013,1000 tonnes,106,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2563,Olives (including preserved),2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2563,Olives (including preserved),2013,2013,1000 tonnes,106,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2578,Coconut Oil,2013,2013,1000 tonnes,2,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2578,Coconut Oil,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2578,Coconut Oil,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2578,Coconut Oil,2013,2013,1000 tonnes,2,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2579,Sesameseed Oil,2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2579,Sesameseed Oil,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2579,Sesameseed Oil,2013,2013,1000 tonnes,1,S,Standardized data
